index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province
5250,sienna senior living inc. — granite ridge care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,K2S2C5,stittsville,on
5251,sienna senior living inc. — harmony hills care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M4A1W7,toronto,on
5252,sienna senior living inc. — hawthorn woods care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L6P0N5,brampton,on
5253,sienna senior living inc. — langstaff square care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L4B4T8,richmond hill,on
5254,sienna senior living inc. — madonna care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,K1C7L3,orléans,on
5255,sienna senior living inc. — maple grove care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L6R3B5,brampton,on
5256,sienna senior living inc. — midland gardens care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M1N4B2,scarborough,on
5257,sienna senior living inc. — muskoka shores care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,P1P1P3,gravenhurst,on
5258,sienna senior living inc. — norfinch care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M3N1X1,north york,on
5259,sienna senior living inc. — owen hill care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L4M3H7,barrie,on
5260,sienna senior living inc. — rockcliffe care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M1P2V7,scarborough,on
5261,sienna senior living inc. — secord trails care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N5C3P6,ingersoll,on
5262,sienna senior living inc. — silverthorn care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L5M7C8,mississauga,on
5263,sienna senior living inc. — spencer house,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L3V8B3,orillia,on
5264,sienna senior living inc. — st. george care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M5R2M2,toronto,on
5265,sienna senior living inc. — streetsville care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L5M1X9,mississauga,on
5266,sienna senior living inc. — trillium retirement and care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,K7M8S4,kingston,on
5267,sienna senior living inc. — tullamore care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L6W3G3,brampton,on
5268,sienna senior living inc. — waters edge care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,P1A1X5,north bay,on
5269,sienna senior living inc. — weston terrace care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M9N3V4,toronto,on
5270,sienna senior living inc. — woodbridge vista care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L4L9S1,woodbridge,on
5271,sienna senior living inc. — woodhall park care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L6Z4N7,brampton,on
5272,silverthorn care community,long-term care home,Nursing and residential care facilities,Province of Ontario,,4350,mississauga road,L5M7C8,mississauga,on
5273,simcoe heritage retirement home,retirement home,Nursing and residential care facilities,Province of Ontario,,182,norfolk street s,N3Y2W4,simcoe,on
5274,simcoe manor home for the aged,long-term care home,Nursing and residential care facilities,Province of Ontario,,5988,8 line,L0G1A0,new tecumseth,on
5275,simcoe muskoka district health unit,aids bureau,Ambulatory health care services,Province of Ontario,,15,sperling drive,L4M6K9,barrie,on
5276,simcoe terrace,retirement home,Nursing and residential care facilities,Province of Ontario,,44,donald street,L4N1E3,barrie,on
5277,simcoe village,community support service,Ambulatory health care services,Province of Ontario,,1110,highway 26,L0L1X0,midhurst,on
5278,sinai health system,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,600,university avenue,M5G1X5,toronto,on
5279,sinai health system (css),community support service,Ambulatory health care services,Province of Ontario,,600,university avenue,M5G1X5,toronto,on
5280,sinai health system - bridgepoint,hospital - site,Hospitals,Province of Ontario,,14,st mathews road,M4M2B5,toronto,on
5281,sinai health system - mount sinai,hospital - corporation,Hospitals,Province of Ontario,,600,university avenue,M5G1X5,toronto,on
5282,sinai health system — bridgepoint hospital,long term care,Hospitals,Canadian Institute for Health Information,,,,M4M2B5,toronto,on
5283,sinai health system — mount sinai hospital,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,M5G1X5,toronto,on
5284,sioux lookout meno ya win health centre,general,Hospitals,Public Health Agency of Canada,,1,meno ya min way,P8T1B4,sioux lookout,on
5285,sioux lookout meno ya win health centre - lookout district,hospital - corporation,Hospitals,Province of Ontario,,1,meno ya win way,P8T1B4,sioux lookout,on
5286,sioux lookout meno ya win health centre — sioux lookout meno ya win health centre,long term care,Hospitals,Canadian Institute for Health Information,,,,P8T1B4,sioux lookout,on
5287,sioux lookout meno ya win health centre — william a. “bill” george extended care facility,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,P8T1K9,sioux lookout,on
5288,sioux lookout meno-ya-win health centre - fifth avenue site,general,Hospitals,Public Health Agency of Canada,,,,P8T1B4,sioux lookout,on
5289,sioux lookout meno-ya-win health centre - seventh avenue site,general,Hospitals,Public Health Agency of Canada,,74,7 ave,P8T1C2,sioux lookout,on
5290,sioux lookout meno-ya-win health centre -css,community support service,Ambulatory health care services,Province of Ontario,,69,front street,P8T1B4,sioux lookout,on
5291,sirch community services & consulting,community support service,Ambulatory health care services,Province of Ontario,,4633,haliburton county road 21,K0M1S0,haliburton,on
5292,sistering - a woman's place,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,220,cowan avenue,M6K2N6,toronto,on
5293,six nations council,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,1745,chiefswood road,N0A1M0,ohsweken,on
5294,six nations of the grand river,community support service,Ambulatory health care services,Province of Ontario,,1745,chiefswood road,N0A1M0,ohsweken,on
5295,six nations of the grand river fht,family health team - contract,Ambulatory health care services,Province of Ontario,,1745,chiefswood drive,N0A1M0,ohsweken,on
5296,slate falls nation,community support service,Ambulatory health care services,Province of Ontario,,48,lakeview drive,P0V3C0,slate falls,on
5297,smiths falls,nurse practitioner led clinic,Ambulatory health care services,Province of Ontario,,52,abbott street n,K7A1W3,smiths falls,on
5298,smithville family health team,family health team - contract,Ambulatory health care services,Province of Ontario,,230,canboro street,L0R2A0,smithville,on
5299,smooth rock falls hospital,general,Hospitals,Public Health Agency of Canada,,107,kelly rd,P0L2B0,smooth rock falls,on
5300,sobriety house,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,90,first avenue,K1S2G4,ottawa,on
5301,society of sharing - inner-city volunteers,community support service,Ambulatory health care services,Province of Ontario,,10,saint mary street,M4Y1P9,toronto,on
5302,society of st. vincent de paul toronto central council,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,240,church street,M5B1Z2,toronto,on
5303,soins palliatifs horizon-timmins inc./horizon-timmins palliative care inc.,community support service,Ambulatory health care services,Province of Ontario,,733,ross avenue e,P4N8S8,timmins,on
5304,somerset west community health centre - yet keen seniors,children's treatment centre,Hospitals,Province of Ontario,,211,bronson avenue,K1R6H5,ottawa,on
5305,sound times support services of metropolitan toronto,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,1001,queen street w,M6J1H4,toronto,on
5306,south algonquin family health team corporation,family health team - contract,Ambulatory health care services,Province of Ontario,,27,medical centre road,K0J2M0,whitney,on
5307,south bruce grey health centre,,Hospitals,Canadian Institute for Health Information,,21,mcgivern st w,N0G2V0,walkerton,on
5308,south bruce grey health centre (corporate office) - walkerton,general,Hospitals,Public Health Agency of Canada,,21,mcgivern st,N0G2V0,walkerton,on
5309,south bruce grey health centre - chesley,general,Hospitals,Public Health Agency of Canada,,39,2 st se,N0G1L0,chesley,on
5310,south bruce grey health centre - durham,general,Hospitals,Public Health Agency of Canada,,320,college st,N0G1R0,durham,on
5311,south bruce grey health centre - kincardine,general,Hospitals,Public Health Agency of Canada,,43,queen st,N2Z2Z2,kincardine,on
5312,south bruce grey health centre - walkerton,laboratory - hospital,Ambulatory health care services,Province of Ontario,,21,mcgivern street,N0G2V0,walkerton,on
5313,south bruce grey health centre — chesley site,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,N0G1L0,chesley,on
5314,south bruce grey health centre — durham site,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,N0G1R0,durham,on
5315,south bruce grey health centre — kincardine site,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,N2Z1G6,kincardine,on
5316,south bruce grey health centre — walkerton site,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,N0G2V0,walkerton,on
5317,south centennial manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,240,fyfe street,P0K1E0,iroquois falls,on
5318,south coast physiotherapy,other,Ambulatory health care services,Canadian Institute for Health Information,,,,N3Y1S8,simcoe,on
5319,south cochrane addictions services inc.,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,85,pine street s,P4N2K1,timmins,on
5320,south east community care access centre (css),community support service,Ambulatory health care services,Province of Ontario,,1471,john counter boulevard,K7M8S8,kingston,on
5321,south east grey chc,children's treatment centre,Hospitals,Province of Ontario,,1355,bank street,K1H8K7,ottawa,on
5322,south east local health integration network,community support service,Ambulatory health care services,Province of Ontario,,71,adam street,K8N5K3,belleville,on
5323,south east local health integration network (lhin op),community support service,Ambulatory health care services,Province of Ontario,,71,adam street,K8N5K3,belleville,on
5324,south east toronto fht,family health team - contract,Ambulatory health care services,Province of Ontario,,833,coxwell avenue,M4C3E8,toronto,on
5325,south essex community council incorporated,community support service,Ambulatory health care services,Province of Ontario,,215,talbot street e,N8H3X5,leamington,on
5326,south huron hospital,general,Hospitals,Public Health Agency of Canada,,24,huron st w,N0M1S2,exeter,on
5327,south muskoka memorial hospital,general,Hospitals,Public Health Agency of Canada,,75,ann st,P1L2E4,bracebridge,on
5328,south riverdale community health centre,senior active living centre,Nursing and residential care facilities,Province of Ontario,,2,gower street,M4B1E2,toronto,on
5329,south riverdale community health centre (css),community support service,Ambulatory health care services,Province of Ontario,,955,queen street e,M4M3P3,toronto,on
5330,south west lhin-home care,community support service,Ambulatory health care services,Province of Ontario,,356,oxford street w,N6H1T3,london,on
5331,south west local health integration network,community support service,Ambulatory health care services,Province of Ontario,,201,queens avenue,N6A1J1,london,on
5332,south west local health integration network (lhin op),community support service,Ambulatory health care services,Province of Ontario,,201,queens avenue,N6A1J1,london,on
5333,south-east ottawa community health centre,aids bureau,Ambulatory health care services,Province of Ontario,,1355,bank street,K1H8K7,ottawa,on
5334,southampton care centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,140,grey street,N0H2L0,southampton,on
5335,southbridge care homes inc. — bayfield manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,K0G1J0,kemptville,on
5336,southbridge care homes inc. — birchwood terrace,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,P9N4J7,kenora,on
5337,southbridge care homes inc. — chelsey park,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N6H4N6,london,on
5338,southbridge care homes inc. — country lane long term care residence,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N0H1G0,chatsworth,on
5339,southbridge care homes inc. — country village homes,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N0R1V0,woodslee,on
5340,southbridge care homes inc. — craiglee nursing home,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,M1N2M7,scarborough,on
5341,southbridge care homes inc. — errinrung nursing home,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N0H2P0,thornbury,on
5342,southbridge care homes inc. — georgian heights,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N4K6B1,owen sound,on
5343,southbridge care homes inc. — hope street terrace,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L1A2M8,port hope,on
5344,southbridge care homes inc. — maitland manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N7A4G6,goderich,on
5345,southbridge care homes inc. — maple view,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N4K4W1,owen sound,on
5346,southbridge care homes inc. — marochel manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,K1K0S6,ottawa,on
5347,southbridge care homes inc. — orchard villa,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L1V3R6,pickering,on
5348,southbridge care homes inc. — parisien manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,K6H1Z2,cornwall,on
5349,southbridge care homes inc. — parkview manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N0G1L0,chesley,on
5350,southbridge care homes inc. — pinecrest nursing home,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,K0B1L0,plantagenet,on
5351,southbridge care homes inc. — port perry place,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L9L1N5,port perry,on
5352,southbridge care homes inc. — queensway nursing home,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N0M1X0,hensall,on
5353,southbridge care homes inc. — regency manor nursing home,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L1A1E3,port hope,on
5354,southbridge care homes inc. — seaforth manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N0K1W0,seaforth,on
5355,southbridge care homes inc. — shelburne residence,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L0N1S1,shelburne,on
5356,southbridge care homes inc. — southbridge lakehead,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,P7E1J2,thunder bay,on
5357,southbridge care homes inc. — southbridge pinewood,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,P7E2E5,thunder bay,on
5358,southbridge care homes inc. — southbridge roseview,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,P7A2Z2,thunder bay,on
5359,southbridge care homes inc. — the palace,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,K0C1A0,alexandria,on
5360,southbridge care homes inc. — warkworth place,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,K0K3K0,warkworth,on
5361,southbridge care homes inc. — west park health centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L2S1S9,st catharines,on
5362,southbridge lakehead,long-term care home,Nursing and residential care facilities,Province of Ontario,,135,south vickers street,P7E1J2,thunder bay,on
5363,southbridge pinewood,long-term care home,Nursing and residential care facilities,Province of Ontario,,2625,walsh street e,P7E2E5,thunder bay,on
5364,southbridge roseview,long-term care home,Nursing and residential care facilities,Province of Ontario,,99,shuniah street,P7A2Z2,thunder bay,on
5365,southbrook retirement community,retirement home,Nursing and residential care facilities,Province of Ontario,,400,ray lawson boulevard,L6Y4G4,brampton,on
5366,southern frontenac community services corporation,community support service,Ambulatory health care services,Province of Ontario,,4295,stagecoach road,K0H2T0,sydenham,on
5367,southgate village,retirement home,Nursing and residential care facilities,Province of Ontario,,38,park street,N9Y1N4,kingsville,on
5368,southlake family health team,family health team - contract,Ambulatory health care services,Province of Ontario,,581,davis drive,L3Y2P6,newmarket,on
5369,southlake regional health centre,general,Hospitals,Public Health Agency of Canada,,596,davis dr,L3Y2P9,newmarket,on
5370,southlake regional health centre (srhc),mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,596,davis drive,L3Y2P9,newmarket,on
5371,southlake regional health centre - css,community support service,Ambulatory health care services,Province of Ontario,,596,davis drive,L3Y2P9,newmarket,on
5372,southlake regional health centre — reactivation care centre church,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,M9N1N8,toronto,on
5373,southlake regional health centre — reactivation care centre finch,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,M3N1N1,toronto,on
5374,southlake regional health centre — southlake regional health centre,long term care,Hospitals,Canadian Institute for Health Information,,,,L3Y2P9,newmarket,on
5375,southlake residential care village,long-term care home,Nursing and residential care facilities,Province of Ontario,,640,grace street,L3Y2P6,newmarket,on
5376,southwest ontario aboriginal health access centre,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,1025,2 avenue w,N4K4N1,owen sound,on
5377,southwest ontario aboriginal health access centre (css),community support service,Ambulatory health care services,Province of Ontario,,77,anishnaabeg drive,N0L1Y0,muncey,on
5378,southwestern public health,public health unit office,Ambulatory health care services,Province of Ontario,,1230,talbot street,N5P1G9,saint thomas,on
5379,southwestern regional centre,mental health,,Public Health Agency of Canada,,19857,four rod rd rr 1,N0P1A0,blenheim,on
5380,southwind retirement home,retirement home,Nursing and residential care facilities,Province of Ontario,,11118,highway 124,P0A1X0,sundridge,on
5381,spencer house,long-term care home,Nursing and residential care facilities,Province of Ontario,,835,west ridge boulevard,L3V8B3,orillia,on
5382,spinal cord injury ontario,community support service,Ambulatory health care services,Province of Ontario,,520,sutherland drive,M4G3V9,toronto,on
5383,springdale country manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,2698,clifford line,K9J6X6,peterborough,on
5384,spruce hill lodge,retirement home,Nursing and residential care facilities,Province of Ontario,,,bruce avenue w,P0N1H0,timmins,on
5385,spruce lodge,community support service,Ambulatory health care services,Province of Ontario,,643,west gore street,N5A1L4,stratford,on
5386,spruce lodge home for the aged,senior active living centre,Nursing and residential care facilities,Province of Ontario,,643,west gore street,N5A1L4,stratford,on
5387,spruce lodge municipal home for the aged,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N5A1L4,stratford,on
5388,sprucedale care centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,96,kittridge avenue e,N7G2A8,strathroy,on
5389,st christopher house (soc. integrat.),community support service,Ambulatory health care services,Province of Ontario,,588,queen street w,M6J1E3,toronto,on
5390,st joseph’s health centre of sudbury — st gabriel’s villa,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,P0M1L0,chelmsford,on
5391,st joseph’s health centre of sudbury — st joseph’s continuing care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,P3E0B6,sudbury,on
5392,st joseph’s health centre of sudbury — st joseph’s villa,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,P3E6L9,sudbury,on
5393,st. andrew's residence,retirement home,Nursing and residential care facilities,Province of Ontario,,99,park street,N7M3R5,chatham-kent,on
5394,st. andrew's residence chatham inc.,community support service,Ambulatory health care services,Province of Ontario,,99,park street,N7M3R5,chatham-kent,on
5395,st. andrew's terrace long term care community,long-term care home,Nursing and residential care facilities,Province of Ontario,,255,st andrews street,N1S1P1,cambridge,on
5396,st. bernard's residence,retirement home,Nursing and residential care facilities,Province of Ontario,,685,finch avenue w,M2R1P2,toronto,on
5397,st. catharines physiotherapy centre,other,Ambulatory health care services,Canadian Institute for Health Information,,,,L2R1R5,st catharines,on
5398,st. charles village,retirement home,Nursing and residential care facilities,Province of Ontario,,30,nova crescent,L3C6P8,welland,on
5399,st. christopher house,community support service,Ambulatory health care services,Province of Ontario,,588,queen street w,M6J1E3,toronto,on
5400,st. clair o'connor community inc,community support service,Ambulatory health care services,Province of Ontario,,2701,st clair avenue e,M4B3M3,toronto,on
5401,st. clair o'connor community nursing home,long-term care home,Nursing and residential care facilities,Province of Ontario,,2701,saint clair avenue e,M4B3M3,toronto,on
5402,st. clair west services for seniors,community support service,Ambulatory health care services,Province of Ontario,,2562,eglington avenue w,M6M1T4,toronto,on
5403,st. clair west services for seniors (css),community support service,Ambulatory health care services,Province of Ontario,,2562,eglington avenue w,M6M1T4,toronto,on
5404,st. clair west services for seniors (toronto central lhin),community support service,Ambulatory health care services,Province of Ontario,,2562,eglington avenue w,M6M1T4,toronto,on
5405,st. demetrius supportive care services,community support service,Ambulatory health care services,Province of Ontario,,60,richview road,M9A5E4,toronto,on
5406,st. elizabeth retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,391,rymal road w,L9B1V2,hamilton,on
5407,st. francis memorial hospital,general,Hospitals,Public Health Agency of Canada,,7,st francis memorial dr,K0J1B0,barrys bay,on
5408,st. gabriel's villa of sudbury,long-term care home,Nursing and residential care facilities,Province of Ontario,,4690,regional road 15,P0M1L0,sudbury,on
5409,st. george care community,long-term care home,Nursing and residential care facilities,Province of Ontario,,225,st george street,M5R2M2,toronto,on
5410,st. hilda's towers,community support service,Ambulatory health care services,Province of Ontario,,2339,dufferin street,M6E4Z5,toronto,on
5411,st. jacobs place,retirement home,Nursing and residential care facilities,Province of Ontario,,10,water street,N0B2N0,saint jacobs,on
5412,st. jacques nursing home,long-term care home,Nursing and residential care facilities,Province of Ontario,,915,notre dame street,K0A1W0,embrun,on
5413,st. john's rehabilitation hospital,rehabilitation,Nursing and residential care facilities,Public Health Agency of Canada,,285,cummer ave,M2M2G1,toronto,on
5414,st. john's retirement home inc.,community support service,Ambulatory health care services,Province of Ontario,,440,water street,K9J7K6,peterborough,on
5415,st. joseph's at fleming,long-term care home,Nursing and residential care facilities,Province of Ontario,,659,brealey drive,K9K2R8,peterborough,on
5416,st. joseph's care group,hospital - corporation,Hospitals,Province of Ontario,,35,algoma st n,P7B5G7,thunder bay,on
5417,st. joseph's care group (corporate office) - st. joseph's hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,35,algoma st n,P7B5G7,thunder bay,on
5418,st. joseph's care group (css),community support service,Ambulatory health care services,Province of Ontario,,35,north algoma street,P7B5G7,thunder bay,on
5419,st. joseph's care group - lakehead psychiatric hospital,psychiatric,Hospitals,Public Health Agency of Canada,,580,algoma st n,P7B5G4,thunder bay,on
5420,st. joseph's continuing care centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,14,york street,K6J5T2,cornwall,on
5421,st. joseph's continuing care centre of sudbury,hospital - corporation,Hospitals,Province of Ontario,,1140,south bay road,P3E0B6,sudbury,on
5422,st. joseph's general hospital - elliot lake,general,Hospitals,Public Health Agency of Canada,,70,spine rd,P5A1X2,elliot lake,on
5423,st. joseph's health care london,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,294,talbot street,N5P4E3,saint thomas,on
5424,st. joseph's health care london - parkwood,hospital - site,Hospitals,Province of Ontario,,550,wellington road,N6C0A7,london,on
5425,st. joseph's health care london - southwest centre for forensic mental health care,hospital - site,Hospitals,Province of Ontario,,401,sunset drive,N5R3C6,st thomas,on
5426,st. joseph's health care london - st. joseph's hospital,hospital - corporation,Hospitals,Province of Ontario,,268,grosvenor street,N6A4V2,london,on
5427,st. joseph's health centre,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,30,the queensway,M6R1B5,toronto,on
5428,st. joseph's health centre - guelph,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,100,westmount rd,N1H5H8,guelph,on
5429,st. joseph's health centre - toronto,general,Hospitals,Public Health Agency of Canada,,30,the queensway,M6R1B5,toronto,on
5430,st. joseph's health centre guelph - css,community support service,Ambulatory health care services,Province of Ontario,,100,westmount road,N1H5H8,guelph,on
5431,st. joseph's healthcare - charlton campus,general,Hospitals,Public Health Agency of Canada,,50,charlton ave e,L8N4A6,hamilton,on
5432,st. joseph's healthcare - west 5th campus,psychiatric,Hospitals,Public Health Agency of Canada,,100,west 5 st,L8N3K7,hamilton,on
5433,st. joseph's healthcare hamilton,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,100,james street s,L8P2Z2,hamilton,on
5434,st. joseph's healthcare hamilton - charlton campus,hospital - corporation,Hospitals,Province of Ontario,,50,charlton avenue e,L8N4A6,hamilton,on
5435,st. joseph's healthcare hamilton - king campus,hospital - site,Hospitals,Province of Ontario,,2757,king street e,L8G5E4,hamilton,on
5436,st. joseph's home care,community support service,Ambulatory health care services,Province of Ontario,,1550,upper james street,L9B2L6,hamilton,on
5437,st. joseph's hospice,community support service,Ambulatory health care services,Province of Ontario,,485,windermere road,N6A5M2,london,on
5438,st. joseph's hospital - london,general,Hospitals,Public Health Agency of Canada,,268,grosvenor st,N6A4V2,london,on
5439,st. joseph's infirmary,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,2,oconnor dr,M4K2K1,toronto,on
5440,st. joseph's lifecare centre,community support service,Ambulatory health care services,Province of Ontario,,99,wayne gretzky parkway,N3S6T6,brantford,on
5441,st. joseph's manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,70,spine road,P5A1X2,elliot lake,on
5442,st. joseph's urban family health team,family health team - contract,Ambulatory health care services,Province of Ontario,,30,the queensway,M6R1B5,toronto,on
5443,st. joseph's villa (dundas),community support service,Ambulatory health care services,Province of Ontario,,56,governors road,L9H5G7,hamilton,on
5444,st. joseph's villa sudbury,long-term care home,Nursing and residential care facilities,Province of Ontario,,1250,south bay road,P3E6L9,sudbury,on
5445,st. joseph’s care group — bethammi nursing home,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,P7A4J2,thunder bay,on
5446,st. joseph’s care group — hogarth riverview manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,P7C4Y7,thunder bay,on
5447,st. joseph’s care group — st. joseph’s hospital,long term care,Hospitals,Canadian Institute for Health Information,,,,P7B5G7,thunder bay,on
5448,st. joseph’s continuing care centre — mcconnell avenue site,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,K6H5S5,cornwall,on
5449,st. joseph’s continuing care centre — st. joseph’s villa,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,K6J5T2,cornwall,on
5450,st. joseph’s health care london — mount hope centre for long term care,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N6A1Y6,london,on
5451,st. joseph’s health care london — parkwood institute,long term care,Hospitals,Canadian Institute for Health Information,,,,N6C0A7,london,on
5452,st. joseph’s healthcare hamilton — west 5th campus,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,L8N3K7,hamilton,on
5453,st. joseph’s motherhouse martha wing,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L9H7L9,dundas,on
5454,st. jude community homes,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,431,dundas street e,M5A2B1,toronto,on
5455,st. lawrence lodge,long-term care home,Nursing and residential care facilities,Province of Ontario,,1803,county road 2 e,K6V5T1,brockville,on
5456,st. lawrence place,retirement home,Nursing and residential care facilities,Province of Ontario,,181,ontario street,K7L5M1,kingston,on
5457,st. leonard's community services,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,12,market street,N3T5P9,brantford,on
5458,st. leonard's community services of london,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,405,dundas street,N6B1V9,london,on
5459,st. mary's gardens,retirement home,Nursing and residential care facilities,Province of Ontario,,225,fifth avenue,P4N0B2,timmins,on
5460,st. mary's general hospital,general,Hospitals,Public Health Agency of Canada,,911,queens blvd,N2M1B2,kitchener,on
5461,st. marys and area mobility service,community support service,Ambulatory health care services,Province of Ontario,,317,james street s,N4X1A6,saint marys,on
5462,st. matthew's bracondale house,community support service,Ambulatory health care services,Province of Ontario,,707,st clair avenue w,M6C4A1,toronto,on
5463,st. matthew's house,senior active living centre,Nursing and residential care facilities,Province of Ontario,,785,britannia avenue,L8H2B6,hamilton,on
5464,st. michael's homes,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,277,rusholme road,M6H2Y9,toronto,on
5465,st. michael's hospital,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,193,young street,M5B1M8,toronto,on
5466,st. michael's hospital - bond st. site,general,Hospitals,Public Health Agency of Canada,,30,bond st,M5B1W8,toronto,on
5467,st. michael's hospital academic family health team,family health team - contract,Ambulatory health care services,Province of Ontario,,410,sherbourne street,M4X1K2,toronto,on
5468,st. patrick's (adult day serivce),community support service,Ambulatory health care services,Province of Ontario,,2865,riverside drive,K1V8N5,ottawa,on
5469,st. patrick's home,long-term care home,Nursing and residential care facilities,Province of Ontario,,2865,riverside drive,K1V8N5,ottawa,on
